BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x013c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0140: 0x00000000 -> 0x0001a400   (A 0  B 107520)
  +0x0144: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0148: 0x00000000 -> 0x00100030   (A 0  B 1048624)
  +0x014c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0150: 0x00000000 -> 0x00019b00   (A 0  B 105216)
  +0x0154: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0188: 0x00000000 -> 0x00100000   (A 0  B 1048576)
  +0x018c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0198: 0x00000000 -> 0x00018900   (A 0  B 100608)
  +0x019c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x01a8: 0x00000000 -> 0x00019c00   (A 0  B 105472)
  +0x01ac: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x01c0: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x01c4: 0x00000000 -> 0xffffffff   (A 0  B 4294967295)
  +0x0260: 0x00000000 -> 0x00018000   (A 0  B 98304)
  +0x0264: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0268: 0x00000000 -> 0x00018200   (A 0  B 98816)
  +0x026c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0280: 0x00000000 -> 0x00018400   (A 0  B 99328)
  +0x0284: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0288: 0x00000000 -> 0x00018500   (A 0  B 99584)
  +0x028c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0298: 0x00000000 -> 0x00018700   (A 0  B 100096)
  +0x029c: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x02a0: 0x00000000 -> 0x0001a400   (A 0  B 107520)
  +0x02a4: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x02a8: 0x00000000 -> 0x00100030   (A 0  B 1048624)
  +0x02ac: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x02b0: 0x00000000 -> 0x00019b00   (A 0  B 105216)
  +0x02b4: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x02e8: 0x00000000 -> 0x00100000   (A 0  B 1048576)
  +0x02ec: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x02f8: 0x00000000 -> 0x00018900   (A 0  B 100608)
  +0x02fc: 0x00000000 -> 0x00000100   (A 0  B 256)
  +0x0308: 0x00000000 -> 0x00019c00   (A 0  B 105472)
  +0x030c: 0x00000000 -> 0x00000100   (A 0  B 256)

=== gpu_va=0x10000120000  A=bo_sigusr1_h0_va10000120000_cpu102e30000_sz8000.hex  B=bo_sigusr1_h0_va10000120000_cpu10938c000_sz8000.hex ===
  +0x0004: 0x00800002 -> 0x0080001e   (A 8388610  B 8388638)
  +0x0010: 0x0042a04c -> 0x0042a06c   (A 4366412  B 4366444)
  +0x0014: 0x00200006 -> 0x00200010   (A 2097158  B 2097168)
  +0x0018: 0x0042805c -> 0x0042807c   (A 4358236  B 4358268)
  +0x0028: 0x40000059 -> 0x40000057   (A 1073741913  B 1073741911)
  +0x0030: 0x00142854 -> 0x00164454   (A 1321044  B 1459284)
  +0x0034: 0x04590000 -> 0x005d0000   (A 72941568  B 6094848)
  +0x0038: 0x00264000 -> 0x00264006   (A 2506752  B 2506758)
  +0x003c: 0x412a0077 -> 0x3c540067   (A 1093271671  B 1012138087)
